sys_id,product_id,product_name,product_en_name,category,supplier_name,brand_name,keyword,description,data_time,data_status
1529382,45080,77 Shopping Day 限时7天！买就送旅行全套组！HANATSUYU 昕花露 化妆水 500ｍl【以樱花+绿茶养颜！大容量湿敷急救 补充水份】,77 Shopping Day！HANATSUYU Toning Moisturizing LOTION (500ｍl) Free Travel Kit【Sakura+Green Tea Skincare】,保養,(HANATSUYU はなつゆ)株式会社欣创,HANATSUYU,,,2023-07-25 14:18:55.180,1
1529399,45063,UNICAT 超水感清透防曬隔離乳SPF50+ ★★★★X2,UNICAT UV Sun CreamPF50+ ★★★★ 50mlX2,保養,(Unicat)瑞絲國際貿易有限公司,UNICAT,,,2023-07-25 14:18:55.180,1
1529899,44563,Angel LaLa 非洲芒果代謝咖啡 15包/盒×7,Angel LaLa African Mango Metabolic Coffee(15 pcs/box)×7,保健,(Angel LaLa/家倍健優加)維康生醫實業有限公司,Angel Lala,"窈窕瘦身 Slimming,母親節 gift ideas,AngelLaLa,天使娜拉,楊謹華,保健食品,窈窕,代謝 Metabolism,窈窕,排便順暢,減重,減肥 Diet,飽足感,新陳代謝 Metabolism",．綠咖啡萃取物 促進新陳代謝 ．專利超級藤黃果 零負擔 ．高濃度複方B群 有活力 ．保濕功效極佳卻不黏膩 ．部落客嚴選一致推薦好評,2023-07-25 14:18:55.180,1
1533239,41202,Clearance Sale DV TOKYO 极效分子新生唤肤精粹 10ml/瓶,Clearance Sale  DV TOKYO Perfectin Essence(10ml)/bottle,保養,(DV TOKYO)麗彤生醫科技股份有限公司,DV TOKYO,"前導精華,DV-TOKYO-SERIES,DVitems,郭書瑤,瑤瑤,精萃調理露,童齡露,凍齡,逆齡,Toner,抗老緊緻,撫紋,修護,縮時保養,Anti-Aging,Anti-Wrinkle,璀璨精華,撫紋精華,撫紋修護,喚膚精粹",1滴有感，3滴肌齡逆轉 減少肌膚色斑皺紋 不只凍齡更逆齡 消除肌膚損傷 使肌膚明亮,2023-07-25 14:18:55.180,1
1533574,40867,雙11 買多送多 DV 醇耀妍 真蠶絲煥白版 (10包/盒)*12 送 醇養妍 (10包/盒)*2,Double 11 Buy More Get More DV Beauty Shine Brightening Drink (10 packs/box)*12 FREE DV Antioxidant Beauty (10 packs/box)*2,保健,(DV)麗彤生醫科技股份有限公司,DV,"Ella推薦美妍飲,Ella's Beauty Drink,DV醇耀妍,DV Beauty Drink,Collagen,DV美容飲,醇養顏,喝的保養品,膠原蛋白醇養妍,養顏美容,綜合莓果,野櫻莓,野櫻梅,抗老化,抗氧化,維生素E,抗氧聖品,榖胱甘肽,喝的化妝品,Ella,陳嘉樺,醇養妍,蠶絲醇耀妍,美白飲,美白醇耀妍,DV-Antioxidant-Drink-Day-Night-Set",打造極致透亮感，獨家添加專利蠶絲蛋白：絲滑親膚x極度保濕，輕鬆告別暗沉困擾，Get鑽白無瑕肌。,2023-07-25 14:18:55.180,1
1533575,40866,雙11 買多送多 DV 醇耀妍 真蠶絲煥白版 (10包/盒)*12 送 醇養妍 (10包/盒)*2,Double 11 Buy More Get More DV Beauty Shine Brightening Drink (10 packs/box)*12 FREE DV Antioxidant Beauty (10 packs/box)*2,保健,(DV)麗彤生醫科技股份有限公司,DV,"Ella推薦美妍飲,Ella's Beauty Drink,DV醇耀妍,DV Beauty Drink,Collagen,DV美容飲,醇養顏,喝的保養品,膠原蛋白醇養妍,養顏美容,綜合莓果,野櫻莓,野櫻梅,抗老化,抗氧化,維生素E,抗氧聖品,榖胱甘肽,喝的化妝品,Ella,陳嘉樺,醇養妍,蠶絲醇耀妍,美白飲,美白醇耀妍,DV-Antioxidant-Drink-Day-Night-Set",打造極致透亮感，獨家添加專利蠶絲蛋白：絲滑親膚x極度保濕，輕鬆告別暗沉困擾，Get鑽白無瑕肌。,2023-07-25 14:18:55.180,1
1533618,40823,FS直播限定！物理柔雾防晒DD霜SPF50★★★ 50ml X 2入,"FS LIVE LIMITED!  userISM Fully Physical Soft Matte DD Cream SPF50★★★(50ml×2, optional)",彩妝,(userISM)台灣耀燊生技股份有限公司,userISM,"防曬霜,防曬精華,CC霜,CC乳,隔離霜,底妝,粉底,物理防曬,化學防曬,高效防曬,抗紫外線,抗UVB&UVA,戶外防護,防晒霜,防晒精华,隔离霜,物理防晒,化学防晒,高效防晒,抗紫外线,户外防护,cc cream,foundation",榮獲FG特優標章同類商品使用評價NO.1  皮膚科醫師推薦 網友口碑熱銷  不含化學性成分 100&物理性防曬 清透控油不悶熱 潤膚校色不泛白 乾性/中性/油性/混合性膚質適用 敏弱肌、準媽咪也適用,2023-07-25 14:18:55.180,1
1534993,39448,DR.CINK花蜜酵母賦活緊緻卸妝精萃 50ml,,保養,(Dr.Cink)新高橋生技股份有限公司,DR.CINK,"卸妝清潔,臉部清潔,卸妝乳,卸妝露,卸妝保養品,抗皺緊緻,Anti-Aging Remover,黃金花蜜卸妝,抗老卸妝,花蜜酵母,花蜜賦活.卸妝精萃,卸妝精華,黃金胜肽,奈米卸妝,緊緻撫紋,抗皺緊實,抗老精華,Anti-wrinkle,Removing,保濕卸妝,卸妆精华,脸部清洁,脸部保养,,makeup removal,face cleanser,facial cleansing",花蜜緊緻卸妝精萃使用花蜜雙科技卸除堆積已久的老化、彩妝，並達到降低敏感、抗老無紋、增强防禦、燈泡肌！,2023-07-25 14:18:55.180,1
1534994,39447,DR.CINK花蜜酵母賦活緊緻卸妝精萃 50ml,,保養,(Dr.Cink)新高橋生技股份有限公司,DR.CINK,"卸妝清潔,臉部清潔,卸妝乳,卸妝露,卸妝保養品,抗皺緊緻,Anti-Aging Remover,黃金花蜜卸妝,抗老卸妝,花蜜酵母,花蜜賦活.卸妝精萃,卸妝精華,黃金胜肽,奈米卸妝,緊緻撫紋,抗皺緊實,抗老精華,Anti-wrinkle,Removing,保濕卸妝,卸妆精华,脸部清洁,脸部保养,,makeup removal,face cleanser,facial cleansing",花蜜緊緻卸妝精萃使用花蜜雙科技卸除堆積已久的老化、彩妝，並達到降低敏感、抗老無紋、增强防禦、燈泡肌！,2023-07-25 14:18:55.180,1
1535779,38662,女神節 首波 深度撫紋逆齡組,Goddess Festival first wave Deep Wrinkle Reverse Age Group,彩妝,(Dr.Cink)新高橋生技股份有限公司,DR.CINK,"女神節,首波,深度撫紋逆齡組",女神節 首波 深度撫紋逆齡組,2023-07-25 14:18:55.180,1
